gamesPlayed,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,seasonId,shotAttempts,shotAttemptsAgainst,shotAttemptsAhead,shotAttemptsBehind,shotAttemptsClose,shotAttemptsFor,shotAttemptsRelPctg,shotAttemptsTied,unblockedShotAttempts,unblockedShotAttemptsAgainst,unblockedShotAttemptsAhead,unblockedShotAttemptsBehind,unblockedShotAttemptsClose,unblockedShotAttemptsFor,unblockedShotAttemptsRelPctg,unblockedShotAttemptsTied
16,Ottawa,CAN,1992-01-07,ON,3.0,1.0,2010.0,Erik,77,8475790,0,1,Gudbranson,Erik Gudbranson,CAN,D,R,VAN,217,20182019,-63,275,-7,-34,-43,212,-0.0376,-22,-36,204,4,-27,-20,168,-0.0125,-13
15,Keswick,CAN,1994-07-01,ON,55.0,2.0,2012.0,Chris,73,8476919,0,1,Tierney,Chris Tierney,CAN,C,L,OTT,195,20182019,-64,238,-58,8,-38,174,-0.0112,-14,-47,170,-47,13,-30,123,-0.0145,-13
13,Huntington,USA,1989-02-14,NY,11.0,1.0,2007.0,Brandon,75,8474091,0,1,Sutter,Brandon Sutter,CAN,C,R,VAN,190,20182019,-64,185,-26,-13,-38,121,-0.0711,-25,-51,139,-16,-23,-28,88,-0.0814,-12
15,Boston,USA,1997-01-30,MA,21.0,1.0,2015.0,Colin,72,8478400,0,1,White,Colin White,USA,C,R,OTT,183,20182019,-64,201,-23,-24,-28,137,-0.0327,-17,-47,146,-18,-16,-24,99,-0.0341,-13
13,Ostrava,CZE,1986-04-28,,180.0,6.0,2004.0,Roman,74,8471392,0,1,Polak,Roman Polak,CZE,D,R,DAL,240,20182019,-66,180,-18,-17,-31,114,-0.0647,-31,-25,120,3,-11,-10,95,0.0007,-17
17,Brantford,CAN,1990-02-06,ON,82.0,3.0,2008.0,Adam,72,8474641,0,1,Henrique,Adam Henrique,CAN,C,L,ANA,197,20182019,-66,223,-21,-12,-50,157,-0.0191,-33,-43,160,-13,-10,-32,117,0.0064,-20
15,Brondby,DNK,1989-12-16,,8.0,1.0,2008.0,Mikkel,72,8474571,0,1,Boedker,Mikkel Boedker,DNK,L,L,OTT,210,20182019,-67,227,-32,-22,-13,160,-0.0231,-13,-60,179,-28,-25,-13,119,-0.0432,-7
14,Novokuznetsk,RUS,1991-07-23,,55.0,2.0,2009.0,Dmitry,71,8475200,0,1,Orlov,Dmitry Orlov,RUS,D,L,WSH,212,20182019,-68,290,-29,-19,-38,222,-0.0664,-20,-58,221,-17,-20,-27,163,-0.0606,-21
14,Warroad,USA,1991-10-15,MN,30.0,1.0,2010.0,Brock,75,8475754,0,1,Nelson,Brock Nelson,USA,C,L,NYI,212,20182019,-68,229,-42,12,-66,161,-0.0171,-38,-59,173,-30,7,-57,114,-0.0432,-36
15,Muskegon,USA,1987-02-25,MI,42.0,2.0,2005.0,Justin,74,8471716,0,1,Abdelkader,Justin Abdelkader,USA,L,L,DET,214,20182019,-71,194,-13,-33,-42,123,-0.1169,-25,-63,152,-13,-37,-33,89,-0.1294,-13
10,Ottawa,CAN,1989-07-12,ON,139.0,5.0,2008.0,Mark,73,8474697,0,1,Borowiecki,Mark Borowiecki,CAN,D,L,OTT,207,20182019,-71,160,-42,-20,-34,89,-0.0775,-9,-44,114,-28,-14,-18,70,-0.0496,-2
11,Toronto,CAN,1983-10-09,ON,43.0,2.0,2002.0,Trevor,71,8470110,0,1,Daley,Trevor Daley,CAN,D,L,DET,195,20182019,-72,185,-8,-28,-50,113,-0.1276,-36,-55,136,-11,-26,-36,81,-0.1228,-18
14,Vantaa,FIN,1984-03-20,,95.0,3.0,2002.0,Valtteri,72,8470047,0,1,Filppula,Valtteri Filppula,FIN,C,L,NYI,196,20182019,-76,182,-51,-15,-32,106,-0.0735,-10,-53,130,-35,-14,-19,77,-0.0709,-4
15,Norrkoping,SWE,1991-04-12,,10.0,1.0,2009.0,Magnus,75,8475175,0,1,Paajarvi,Magnus Paajarvi,SWE,L,L,OTT,206,20182019,-76,186,-31,-24,-49,110,-0.074,-21,-47,130,-17,-15,-33,83,-0.0509,-15
12,Gävle,SWE,1990-10-13,,39.0,2.0,2009.0,Jakob,73,8475164,0,1,Silfverberg,Jakob Silfverberg,SWE,R,R,ANA,204,20182019,-77,186,-22,-15,-53,109,-0.0802,-40,-54,138,-12,-17,-37,84,-0.0652,-25
13,Hermantown,USA,1995-07-29,MN,,,,Neal,72,8480145,0,1,Pionk,Neal Pionk,USA,D,R,NYR,186,20182019,-77,252,-33,-9,-53,175,-0.1061,-35,-51,183,-18,-4,-40,132,-0.094,-29
10,Ostersund,SWE,1986-04-21,,91.0,3.0,2004.0,Alexander,75,8471303,0,1,Edler,Alexander Edler,SWE,D,L,VAN,212,20182019,-77,154,-26,-29,-53,77,-0.1304,-22,-48,107,-17,-22,-28,59,-0.1054,-9
14,Virginia,USA,1986-12-06,MN,28.0,1.0,2005.0,Matt,73,8471702,0,1,Niskanen,Matt Niskanen,USA,D,R,WSH,203,20182019,-78,288,-37,-17,-54,210,-0.0845,-24,-66,221,-20,-20,-42,155,-0.08,-26
10,Longueuil,CAN,1999-01-08,QC,50.0,2.0,2017.0,Max,74,8480031,0,1,Comtois,Max Comtois,CAN,L,L,ANA,207,20182019,-78,156,-21,-11,-55,78,-0.0952,-46,-68,125,-18,-12,-46,57,-0.1117,-38
17,Helsingborg,SWE,1994-01-20,,6.0,1.0,2012.0,Hampus,75,8476854,0,1,Lindholm,Hampus Lindholm,SWE,D,L,ANA,211,20182019,-81,353,-27,-1,-53,272,0.0124,-53,-61,264,-14,-12,-36,203,0.0287,-35
15,Cherry Hill,USA,1987-03-17,NJ,2.0,1.0,2005.0,Bobby,74,8471676,0,1,Ryan,Bobby Ryan,USA,R,R,OTT,209,20182019,-82,225,-67,-5,-54,143,-0.0562,-10,-57,156,-49,3,-43,99,-0.0555,-11
11,Toronto,CAN,1989-12-20,ON,,,,Christopher,74,8475690,0,1,Tanev,Christopher Tanev,CAN,D,R,VAN,197,20182019,-82,184,-33,-25,-55,102,-0.1177,-24,-48,125,-19,-23,-24,77,-0.0924,-6
13,Ardrossan,CAN,1998-02-03,AB,30.0,1.0,2016.0,Sam,71,8479351,0,1,Steel,Sam Steel,CAN,C,L,ANA,186,20182019,-87,198,-25,-19,-61,111,-0.0732,-43,-78,150,-23,-26,-45,72,-0.1019,-29
13,Hinsdale,USA,1991-10-07,IL,159.0,6.0,2011.0,Josh,75,8476312,0,1,Manson,Josh Manson,CAN,D,R,ANA,216,20182019,-93,310,-40,-4,-84,217,0.0109,-49,-78,230,-29,-11,-62,152,-0.0017,-38
14,Dauphin,CAN,1994-10-06,MB,15.0,1.0,2013.0,Ryan,74,8477506,0,1,Pulock,Ryan Pulock,CAN,D,R,NYI,217,20182019,-93,274,-56,-3,-64,181,-0.0421,-34,-74,203,-37,-4,-59,129,-0.0601,-33
14,Eden Prairie,USA,1991-03-20,MN,16.0,1.0,2009.0,Nick,72,8475181,0,1,Leddy,Nick Leddy,USA,D,L,NYI,207,20182019,-95,268,-51,-13,-56,173,-0.0499,-31,-81,203,-40,-10,-55,122,-0.0798,-31
15,Quebec City,CAN,1997-11-05,QC,133.0,5.0,2016.0,Maxime,73,8479320,0,1,Lajoie,Maxime Lajoie,CAN,D,L,OTT,183,20182019,-96,277,-78,-8,-54,181,-0.0517,-10,-76,204,-61,0,-48,128,-0.0654,-15
14,Narva,EST,1987-01-23,,180.0,6.0,2006.0,Leo,71,8473463,0,1,Komarov,Leo Komarov,FIN,C,L,NYI,209,20182019,-99,193,-66,-17,-42,94,-0.1261,-16,-71,135,-49,-15,-25,64,-0.1345,-7
17,Windsor,CAN,1991-12-05,ON,12.0,1.0,2010.0,Cam,74,8475764,0,1,Fowler,Cam Fowler,USA,D,L,ANA,206,20182019,-108,370,-52,-1,-93,262,-0.0218,-55,-92,274,-35,-18,-69,182,-0.0303,-39
11,Ottawa,CAN,1993-12-21,ON,15.0,1.0,2012.0,Cody,74,8476879,0,1,Ceci,Cody Ceci,CAN,D,R,OTT,209,20182019,-109,261,-76,-24,-55,152,-0.1003,-9,-89,206,-64,-17,-47,117,-0.1096,-8
15,Thunder Bay,CAN,1987-02-14,ON,107.0,4.0,2005.0,Tom,71,8471768,0,1,Pyatt,Tom Pyatt,CAN,L,L,OTT,185,20182019,-110,221,-49,-30,-54,111,-0.125,-31,-80,158,-30,-24,-39,78,-0.1288,-26
