5,0.0,0,14,12,0,4,Havirov,CZE,1996-05-25,,25.0,1.0,2014.0,David,72,8477956,0,1,Pastrnak,David Pastrnak,CZE,R,R,BOS,194,5,17,1.2142,4,7,20182019,0,0,21.5714,0.2068,58,1140.5
7,0.4074,2,13,10,0,10,Smithtown,USA,1991-02-01,NY,26.0,1.0,2009.0,Kyle,71,8475151,0,1,Palmieri,Kyle Palmieri,USA,R,R,NJD,185,-1,17,1.3076,5,9,20182019,0,0,21.5384,0.238,42,1121.6923
9,0.4903,2,15,8,0,6,Mississauga,CAN,1990-09-20,ON,1.0,1.0,2009.0,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,TOR,209,4,17,1.1333,2,4,20182019,0,0,24.1333,0.1403,57,1151.8
10,0.0,2,15,7,0,8,Maykop,RUS,1993-06-17,,58.0,2.0,2011.0,Nikita,71,8476453,0,1,Kucherov,Nikita Kucherov,RUS,R,L,TBL,178,2,17,1.1333,3,5,20182019,0,0,20.3333,0.175,40,1064.2666
11,0.5675,0,15,6,0,6,Hearst,CAN,1988-01-12,ON,22.0,1.0,2006.0,Claude,71,8473512,0,1,Giroux,Claude Giroux,CAN,C,R,PHI,185,-1,17,1.1333,1,7,20182019,0,0,26.0666,0.12,50,1223.3333
13,0.4951,2,15,4,1,6,Rauma,FIN,1997-07-26,,35.0,2.0,2015.0,Sebastian,71,8478427,0,1,Aho,Sebastian Aho,FIN,C,L,CAR,172,7,17,1.1333,1,4,20182019,0,0,22.8,0.1,40,1180.6666
13,0.492,0,15,4,0,6,North Chelmsford,USA,1996-10-28,MA,2.0,1.0,2015.0,Jack,74,8478403,0,1,Eichel,Jack Eichel,USA,C,R,BUF,200,-2,17,1.1333,1,4,20182019,0,0,22.9333,0.0677,59,1209.2
14,0.4594,1,15,3,0,2,Burnaby,CAN,1993-04-12,BC,1.0,1.0,2011.0,Ryan,72,8476454,0,1,Nugent-Hopkins,Ryan Nugent-Hopkins,CAN,C,L,EDM,184,6,17,1.1333,1,7,20182019,1,1,24.2666,0.06,50,1311.3333
14,0.5307,1,14,3,0,6,Gävle,SWE,1987-11-23,,4.0,1.0,2006.0,Nicklas,73,8473563,0,1,Backstrom,Nicklas Backstrom,SWE,C,L,WSH,210,4,17,1.2142,2,10,20182019,0,0,23.9285,0.125,24,1232.7857
5,0.4,2,15,11,2,10,Herisau,CHE,1996-10-08,,9.0,1.0,2015.0,Timo,72,8478414,0,1,Meier,Timo Meier,CHE,R,L,SJS,210,6,16,1.0666,2,2,20182019,0,1,22.0666,0.2291,48,1022.9333
6,0.5279,2,11,10,1,2,San Ramon,USA,1997-09-17,CA,1.0,1.0,2016.0,Auston,75,8479318,0,1,Matthews,Auston Matthews,USA,C,L,TOR,223,-1,16,1.4545,4,5,20182019,0,0,22.2727,0.2631,38,1041.6363
6,0.4615,1,10,10,0,2,Sundsvall,SWE,1998-11-12,,5.0,1.0,2017.0,Elias,74,8480012,0,1,Pettersson,Elias Pettersson,SWE,C,L,VAN,176,6,16,1.6,2,5,20182019,0,0,22.1,0.3571,28,1068.6
7,0.6,1,15,9,0,2,Toronto,CAN,1992-05-16,ON,7.0,1.0,2010.0,Jeff,71,8475784,0,1,Skinner,Jeff Skinner,CAN,L,L,BUF,187,10,16,1.0666,2,5,20182019,0,0,21.0,0.18,50,1054.6666
7,0.5121,2,15,9,1,4,Cologne,DEU,1995-10-27,,3.0,1.0,2014.0,Leon,74,8477934,0,1,Draisaitl,Leon Draisaitl,DEU,C,L,EDM,208,1,16,1.0666,3,7,20182019,0,0,21.8666,0.2432,37,1205.2666
7,0.4377,1,15,9,0,14,Winnipeg,CAN,1995-03-02,MB,12.0,1.0,2013.0,Max,70,8477503,0,1,Domi,Max Domi,CAN,L,L,MTL,193,-1,16,1.0666,3,7,20182019,0,0,21.8666,0.2812,32,1054.0666
9,0.5441,4,15,7,1,9,Saint-Narcisse,CAN,1991-12-15,QC,,,,Yanni,69,8476826,0,1,Gourde,Yanni Gourde,CAN,C,L,TBL,172,8,16,1.0666,3,4,20182019,0,0,22.2666,0.1891,37,1053.4
9,0.0,2,14,7,0,4,Madison,USA,1987-10-02,WI,5.0,1.0,2006.0,Phil,72,8473548,0,1,Kessel,Phil Kessel,USA,R,R,PIT,202,2,16,1.1428,1,4,20182019,0,0,22.3571,0.1707,41,1079.0714
10,0.4885,1,15,6,0,2,Guelph,CAN,1989-03-28,ON,9.0,1.0,2007.0,Logan,73,8474053,0,1,Couture,Logan Couture,CAN,C,L,SJS,200,3,16,1.0666,1,2,20182019,0,0,25.6666,0.1578,38,1175.2
11,0.5,3,15,5,2,4,Korkino,RUS,1991-10-30,,,,,Artemi,71,8478550,0,1,Panarin,Artemi Panarin,RUS,L,R,CBJ,168,0,16,1.0666,0,3,20182019,0,0,22.7333,0.098,51,1166.0
11,0.3181,3,14,5,1,46,Halifax,CAN,1988-05-11,NS,71.0,3.0,2006.0,Brad,69,8473419,0,1,Marchand,Brad Marchand,CAN,L,L,BOS,181,3,16,1.1428,3,6,20182019,0,1,23.7142,0.1612,31,1173.2857
